GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_ke,restriction_type,governing_law
2765940,Kenya,,NATIONAL,,Pontederia crassipes,Prohibited,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",,Introduced 1989. Covers large areas of Lake Victoria. Biocontrol (weevils) deployed.,Pontederia,yes,freshwater,Introduction prohibited; eradication programmes active,Prohibited introduction; active control,EMCA 1999 s.55; FMDA 2016
5274863,Kenya,,NATIONAL,,Salvinia molesta,Prohibited,species,Salviniaceae,"African payal, Giant salvinia, Kariba weed, Water fern, African payal, African pyle, Aquarium watermoss, Giant water fern, Velvet weed, Kariba weed, Salvinia moss, aquarium watermoss, giant salvinia, kariba weed, kariba-weed, water fern, Giant Salvinia",Salvinia adnata,Covers water surfaces; disrupts fisheries and water supply.,Salvinia,yes,freshwater,Introduction prohibited,Prohibited introduction,EMCA 1999 s.55
5358460,Kenya,,NATIONAL,,Prosopis juliflora,Restricted,species,Fabaceae,"Mesquite, Prosopis, Mesquite, Algaroba bean, Mexican thorn, Ironwood, algarroba-bean, ironwood, mesquite","Acacia juliflora, Algarobia juliflora, Entada juliflora, Mimosa furcata, Mimosa juliflora, Neltuma juliflora, Neltuma occidenatlis, Prosopis vidaliana",Introduced 1983 for arid/semi-arid revegetation. Now invasive in ASALs. Declared invasive by Kenya government.,Prosopis,no,,Introduction restricted; eradication in sensitive areas,Restricted,EMCA 1999; Plant Protection Act Cap.324
2925303,Kenya,,NATIONAL,,Lantana camara,Restricted,species,Verbenaceae,"Black Sage, Lantana, Largeleaf Lantana, Sage, Scrubby Cup, Scrubby Tree, Statia Sage, Wild Lantana, Yellow Sage, common lantana, kamara lantana, largeleaf lantana, wild sage, Common Lantana, Wild Sage, shrub verbena, wild sage bush","Camara vulgaris, Lantana camara camara, Lantana camara parvifolia, Lantana coccinea, Lantana glandulodissima, Lantana mexicana, Lantana spinosa, Lantana urticifolia urticifolia",Widespread invasive in mid-altitude zones. Displaces native vegetation; creates tsetse habitat.,Lantana,no,,Introduction restricted; declared invasive,Restricted,EMCA 1999; Plant Protection Act Cap.324
5384075,Kenya,,NATIONAL,,Opuntia stricta,Restricted,species,Cactaceae,"Araluen pear, Common pest pear, Prickly pear, Erect Pricklypear, Erect Pricklypear, Erect prickly pear, Prickle, Sour Prickle, erect prickly-pear","Cactus opuntia inermis, Cactus strictus, Consolea bahamana, Opuntia airampo, Opuntia bahamana, Opuntia balearica, Opuntia bartramii, Opuntia bentonii, Opuntia dillenii reitzii, Opuntia inermis, Opuntia keyensis, Opuntia longiclada, Opuntia macracantha, Opuntia macrantha, Opuntia magnifica, Opuntia parva, Opuntia stricta esparzae, Opuntia stricta reitzii, Opuntia stricta stricta, Opuntia tenuiflora, Opuntia vulgaris balaerica, Opuntia vulgaris balearica, Pilocereus flavispinus, Pilocereus nobilis, Opulea bahamana",Major invasive in dry savannas. Threatens Grevy's zebra habitat.,Opuntia,no,,Introduction restricted; eradication at Laikipia and Samburu,Restricted,EMCA 1999; Plant Protection Act Cap.324
2929892,Kenya,,NATIONAL,,Solanum elaeagnifolium,Prohibited,species,Solanaceae,"Bull-nettle, Silverleaf nightshade, White Nightshade, bull-nettle, prairie-berry, silverleaf bitter-apple, silverleaf nightshade, silverleaf-nettle, tomato weed, tomato-weed, white horse-nettle, white horsenettle, white nightshade","Solanum dealbatum, Solanum elaeagnifolium albiflorum, Solanum elaeagnifolium benkei, Solanum elaeagnifolium angustifolium, Solanum elaeagnifolium argyrocroton, Solanum elaeagnifolium grandiflorum, Solanum elaeagnifolium leprosum, Solanum elaeagnifolium obtusifolium, Solanum flavidum, Solanum incanum, Solanum leprosum, Solanum lunatum, Solanum obtusifolium, Solanum pyriforme uniflorum, Solanum roemerianum, Solanum saponaceum, Solanum texense, Solanum uniflorum",Crop pest and invasive plant. On Kenya phytosanitary prohibited import list.,Solanum,no,,Introduction prohibited,Prohibited introduction,Plant Protection Act Cap.324
7473922,Kenya,,NATIONAL,,Osyris lanceolata,Prohibited,species,Santalaceae,East African sandalwood,"Osyris arborea, Osyris arborea puberula, Osyris arborea rotundifolia, Osyris arborea stipitata, Osyris nepalensis, Osyris wightiana, Osyris wightiana puberula, Osyris wightiana rotundifolia, Osyris wightiana stipitata",Heavily trafficked for illegal sandalwood trade. Kenya has imposed export bans. Also listed in Kenya Forest Service protected trees gazette. Inference sources: FCMA 2016 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31 | EMCA 1999 (Kenya Law) https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31 | IUCN Red List species page https://www.iucnredlist.org/search?query=Osyris%20lanceolata&searchType=species | Kenya Gazette Legal Notice 83/2007 (Presidential sandalwood ban) https://www.kenyalaw.org/kl/fileadmin/pdfdownloads/LegalNotices/2007/LegalNotice_No_83_2007.pdf,Osyris,no,,Inferred protection: FCMA 2016 s.46 (general prohibition on felling rare/endangered trees in public forests) + Legal Notice 83/2007 (Presidential ban on sandalwood exports) + KFS protected-trees gazette (claim unverified) + IUCN Red List: Vulnerable,Prohibited export; possession regulated,FCMA 2016 s.46 (general prohibition); EMCA 1999 (framework); Legal Notice 83/2007 (Presidential ban)
3022853,Kenya,,NATIONAL,,Prunus africana,Protected / Regulated,species,Rosaceae,"African Almond, African cherry, Red Stinkwood, pygeum, African Cherry","Laurocerasus africana, Laurocerasus crassifolia, Prunus crassifolia, Pygeum africanum, Pygeum crassifolium",Bark used in pharmaceutical products (prostate medicine). Major export commodity. Over-exploitation led to CITES listing.,Prunus,no,,Trade regulated; bark extraction requires permit,Regulated harvest; trade regulated by CITES,FCMA 2016; CITES
2770879,Kenya,,NATIONAL,,Aloe,Protected / Regulated,genus,Asphodelaceae,"Aloes, aloe, aloes","Agriodendron, Aloe qaharensis, Aloinella, Aloe, Atevala, Busipho, Chamaealoe, Chortolirion, Guillauminia, Lemeea, Leptaloe, Lomatophyllum, Pachidendron, Phylloma, Rhipidodendrum, Aamaealoe, Alamaealoe, Alchamaloe, Aleptoe, Allauminia, Allemeea, Alleptauminia, Aloella, Aloptaloe, Bleckara, Chamaeleptaloe, Leminia, Leptaloinella, Leptauminia, Lomataloe",Many Kenyan endemic Aloe spp. Face over-collection for ornamental and medicinal trade.,Aloe,no,,Trade regulated; some species fully protected,Trade regulated by CITES permit,WCMA 2013; CITES
6365236,Kenya,,NATIONAL,,Streptocarpus ionanthus,Prohibited,species,Gesneriaceae,"African-violet, Usambara-violet",,Wild African violet species endemic to East Usambara and Taita Hills forests. Severely threatened by habitat loss and collection.,Streptocarpus,no,,Collection from wild prohibited; trade in wild-collected specimens banned,Prohibited wild collection; trade regulated,WCMA 2013; CITES
