common_name,scientific_name,taxonomic_group,iucn_status,cites_appendix,legal_status_kenya,governing_law_names
Labeo,Labeo victorianus,Actinopterygii,Critically Endangered,Not listed,Regulated,FMDA 2016
Ngege (Singida tilapia),Oreochromis esculentus,Actinopterygii,Critically Endangered,Not listed,Regulated; restocking underway,FMDA 2016; EMCA 1999
Victoria tilapia,Oreochromis variabilis,Actinopterygii,Critically Endangered,Not listed,Regulated; refugia in Lake Kanyaboli,FMDA 2016; EMCA 1999
Hooded vulture,Necrosyrtes monachus,Aves,Critically Endangered,Appendix II,Protected,WCMA 2013; CITES
Rüppell's vulture,Gyps rueppelli,Aves,Critically Endangered,Appendix I,Fully protected,WCMA 2013; CITES
Taita Apalis,Apalis fuscigularis,Aves,Critically Endangered,Not listed,Protected; WCMA Sixth Schedule,WCMA 2013
White-backed vulture,Gyps africanus,Aves,Critically Endangered,Appendix II,Protected; WCMA Sixth Schedule,WCMA 2013; CITES
White-headed vulture,Trigonoceps occipitalis,Aves,Critically Endangered,Appendix II,Protected,WCMA 2013; CITES
Shorttail nurse shark,Ginglymostoma brevicaudatum,Chondrichthyes,Critically Endangered,Not listed,Protected,FMDA 2016
Cola porphyrantha,Cola porphyrantha,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Combretum tenuipetiolatum,Combretum tenuipetiolatum,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Euphorbia cussonioides,Euphorbia cussonioides,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Ixora scheffleri subsp. keniensis,Ixora scheffleri subsp. keniensis,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Karomia gigas,Karomia gigas,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Meineckia ovata,Meineckia ovata,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Memecylon buxoides,Memecylon buxoides,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Pavetta tarennoides,Pavetta tarennoides,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Shimba Hills vangueria,Vangueriopsis shimbaensis,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Sorindeia calantha,Sorindeia calantha,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Tana River euphorbia,Euphorbia tanaensis,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Turraea elephantina,Turraea elephantina,Magnoliopsida,Critically Endangered,Not listed,Protected under FCMA 2016; Critically Endangered,FCMA 2016; EMCA 1999
Black rhinoceros,Diceros bicornis michaeli,Mammalia,Critically Endangered,Appendix I,Fully protected; all horn trade banned,WCMA 2013; CITES
Hirola (Hunter's hartebeest),Beatragus hunteri,Mammalia,Critically Endangered,Appendix I,Fully protected; WCMA Sixth Schedule; recovery plan,WCMA 2013; CITES
Tana River red colobus,Piliocolobus rufomitratus,Mammalia,Critically Endangered,Appendix I,Fully protected,WCMA 2013; CITES
Taita Hills violet,Saintpaulia teitensis,Monocots,Critically Endangered,Appendix I,Fully protected,WCMA 2013; CITES
Hawksbill sea turtle,Eretmochelys imbricata,Reptilia,Critically Endangered,Appendix I,Fully protected,WCMA 2013; FMDA 2016; CITES
Pancake tortoise,Malacochersus tornieri,Reptilia,Critically Endangered,Appendix II,Protected,WCMA 2013; CITES
Napoleon wrasse (humphead wrasse),Cheilinus undulatus,Actinopterygii,Endangered,Appendix II,Trade regulated,FMDA 2016; CITES
Tigoni reed frog,Hyperolius cystocandicans,Amphibia,Endangered,Not listed,Protected,WCMA 2013; EMCA 1999
Clarke's Weaver,Ploceus golandi,Aves,Endangered,Not listed,Protected,WCMA 2013
Egyptian vulture,Neophron percnopterus,Aves,Endangered,Appendix II,Protected,WCMA 2013; CITES
Grey crowned crane,Balearica regulorum,Aves,Endangered,Appendix II,Protected; WCMA Sixth Schedule,WCMA 2013; CITES
Grey parrot,Psittacus erithacus,Aves,Endangered,Appendix I,Fully protected; commercial trade banned,WCMA 2013; CITES
Martial eagle,Polemaetus bellicosus,Aves,Endangered,Not listed,Protected; WCMA Sixth Schedule,WCMA 2013
Saker falcon,Falco cherrug,Aves,Endangered,Appendix II,Protected,WCMA 2013; CITES
Secretarybird,Sagittarius serpentarius,Aves,Endangered,Appendix II,Protected,WCMA 2013; CITES
Sharpe's Longclaw,Macronyx sharpei,Aves,Endangered,Not listed,Protected,WCMA 2013
Sokoke Pipit,Anthus sokokensis,Aves,Endangered,Not listed,Protected,WCMA 2013
Sokoke scops-owl,Otus ireneae,Aves,Endangered,Not listed,Protected,WCMA 2013
Taita White-eye,Zosterops silvanus,Aves,Endangered,Not listed,Protected,WCMA 2013
Taita thrush,Turdus helleri,Aves,Endangered,Not listed,Protected; WCMA Sixth Schedule,WCMA 2013
Manta ray (oceanic),Mobula birostris,Chondrichthyes,Endangered,Appendix II,Fully protected,FMDA 2016; CITES
Whale shark,Rhincodon typus,Chondrichthyes,Endangered,Appendix II,Highly regulated; dive-tourism only,FMDA 2016; WCMA 2013; CITES
Voi cycad,Encephalartos kisambo,Cycadopsida,Endangered,Appendix I,Fully protected; CITES Appendix I (all Encephalartos),WCMA 2013; CITES; FCMA 2016
Anisotes ukambensis,Anisotes ukambensis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Brucea macrocarpa,Brucea macrocarpa,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Cola octoloboides,Cola octoloboides,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Craibia brevicaudata subsp. burttii,Craibia brevicaudata subsp. burttii,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Croton alienus,Croton alienus,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
East African yellowwood,Afrocarpus usambarensis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Faden's coffee,Coffea fadenii,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Gigasiphon macrosiphon,Gigasiphon macrosiphon,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Glover's rosewood,Dalbergia gloveri,Magnoliopsida,Endangered,Appendix II,Protected under FCMA 2016; CITES Appendix II (all Dalbergia),FCMA 2016; CITES
Grevea eggelingii var. keniensis,Grevea eggelingii var. keniensis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Gymnosporia keniensis,Gymnosporia keniensis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Isolona cauliflora,Isolona cauliflora,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Luke's cynometra,Cynometra lukei,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Meru Oak,Vitex keniensis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Mombasa bauhinia,Bauhinia mombassae,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Monanthotaxis faulknerae,Monanthotaxis faulknerae,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Newtonia erlangeri,Newtonia erlangeri,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Oxyanthus pyriformis subsp. longitubus,Oxyanthus pyriformis subsp. longitubus,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Polyscias stuhlmannii,Polyscias stuhlmannii,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Premna maxima,Premna maxima,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Robertson's jujube,Ziziphus robertsoniana,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Sclerocarya gillettii,Sclerocarya gillettii,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Shimba Hills ebony,Diospyros shimbaensis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Tana River eugenia,Eugenia tanaensis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Toussaintia orientalis,Toussaintia orientalis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Turraea barbata,Turraea barbata,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Uvariodendron gorgonis,Uvariodendron gorgonis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Vepris glandulosa,Vepris glandulosa,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Wakefield's euphorbia,Euphorbia wakefieldii,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Warneckea maritima,Warneckea maritima,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
Warneckea melindensis,Warneckea melindensis,Magnoliopsida,Endangered,Not listed,Protected under FCMA 2016; Endangered,FCMA 2016; EMCA 1999
African wild dog,Lycaon pictus,Mammalia,Endangered,Appendix II,Protected; WCMA Sixth Schedule,WCMA 2013; CITES
Eastern chimpanzee,Pan troglodytes schweinfurthii,Mammalia,Endangered,Appendix I,Protected; marginal population in western Kenya,WCMA 2013; CITES
Giant pangolin,Smutsia gigantea,Mammalia,Endangered,Appendix I,Protected,WCMA 2013; CITES
Grevy's zebra,Equus grevyi,Mammalia,Endangered,Appendix I,Protected; WCMA Sixth Schedule,WCMA 2013; CITES
Indo-Pacific humpback dolphin,Sousa plumbea,Mammalia,Endangered,Appendix I,Protected,FMDA 2016; CITES
Reticulated giraffe,Giraffa reticulata,Mammalia,Endangered,Appendix II,Protected,WCMA 2013; CITES
Tana River mangabey,Cercocebus galeritus,Mammalia,Endangered,Appendix I,Protected; critically restricted range,WCMA 2013; CITES
Tree (white-bellied) pangolin,Phataginus tricuspis,Mammalia,Endangered,Appendix I,Protected,WCMA 2013; CITES
Green sea turtle,Chelonia mydas,Reptilia,Endangered,Appendix I,Protected; all Kenyan maritime zones declared turtle sanctuary,WCMA 2013; FMDA 2016; CITES
